source	target	is_directed	is_stimulation	is_inhibition	dip_url
7414	1213	0	0	0	NA
1211	1213	0	0	0	NA
273	1213	0	0	0	NA
7020	1213	0	0	0	NA
1213	29924	0	0	0	NA
8301	1213	1	1	0	NA
3092	1213	0	0	0	NA
1213	4952	0	0	0	NA
10043	1213	0	0	0	NA
1213	8925	0	0	0	NA
407	1213	0	0	0	NA
9365	55503	1	1	0	NA
9365	56302	1	1	0	NA
9365	3480	1	0	1	NA
9365	3643	1	1	1	NA
7052	60	0	0	0	NA
60	6709	0	0	0	NA
60	59341	0	0	0	NA
2597	60	0	0	0	NA
4000	60	0	0	0	NA
3575	60	1	0	0	NA
2934	60	0	0	0	NA
23028	60	1	0	1	NA
60	1915	0	0	0	NA
4137	60	0	0	0	NA
60	3182	0	0	0	NA
60	7248	1	0	0	NA
7248	60	1	0	0	NA
829	60	0	0	0	NA
60	23406	0	0	0	NA
55333	60	0	0	0	NA
10575	60	0	0	0	NA
5764	60	0	0	0	NA
60	2275	0	0	0	NA
11151	60	0	0	0	NA
60	2768	0	0	0	NA
8507	60	0	0	0	NA
5867	60	0	0	0	NA
5130	60	0	0	0	NA
8842	60	0	0	0	NA
60	6336	0	0	0	NA
1490	60	0	0	0	NA
5340	60	0	0	0	NA
60	84700	0	0	0	NA
1207	60	0	0	0	NA
3295	60	0	0	0	NA
60	7447	0	0	0	NA
60	4892	0	0	0	NA
60	5203	0	0	0	NA
60	4643	0	0	0	NA
60	1265	0	0	0	NA
25802	60	0	0	0	NA
10956	59341	1	0	1	NA
10956	54583	1	1	0	NA
10956	112399	1	1	0	NA
5265	10956	0	0	0	NA
10956	4225	0	0	0	NA
10956	81501	0	0	0	NA
10956	6400	0	0	0	NA
9362	10956	0	0	0	NA
3551	9454	0	0	0	NA
5311	3708	0	0	0	NA
5566	3708	1	1	1	NA
2534	3708	1	1	0	NA
3708	7222	1	1	0	NA
2280	3708	0	0	0	NA
3708	6262	0	0	0	NA
596	3708	0	0	0	NA
207	3708	1	0	1	NA
983	3708	1	0	0	NA
8678	3708	0	0	0	NA
672	3708	0	0	0	NA
150771	3708	1	1	0	NA
10768	3708	0	0	0	NA
767	3708	0	0	0	NA
3708	23071	0	0	0	NA
3708	85450	0	0	0	NA
11160	3708	0	0	0	NA
3708	2036	0	0	0	NA
5566	7225	0	0	0	NA
23557	7225	0	0	0	NA
11267	7225	1	1	0	NA
4599	7225	1	1	0	NA
11237	7225	1	0	1	NA
2534	7225	1	1	0	NA
7220	7225	1	0	1	NA
1128	7225	1	1	0	NA
5139	7225	0	0	0	NA
7224	7225	1	0	1	NA
7222	7225	0	0	0	NA
5566	23236	1	0	1	NA
5578	23236	1	0	1	NA
23236	54822	1	0	1	NA
2776	23236	1	1	0	NA
5580	23236	1	0	0	NA
2767	23236	1	1	0	NA
23236	2767	1	1	0	NA
5595	23236	1	0	0	NA
5999	23236	0	0	0	NA
2782	23236	1	1	1	NA
6714	185	1	0	0	NA
185	409	1	0	0	NA
409	185	1	0	0	NA
185	2776	1	1	0	NA
185	85406	0	0	0	NA
185	10672	1	1	0	NA
5894	185	1	0	0	NA
624	185	0	0	0	NA
5594	185	1	0	0	NA
185	5594	1	0	0	NA
183	185	1	1	0	NA
185	55970	1	1	0	NA
5868	185	0	0	0	NA
185	7064	0	0	0	NA
5566	359	1	1	0	NA
5578	359	1	0	0	NA
359	7222	0	0	0	NA
5566	7052	1	0	0	NA
301	7052	0	0	0	NA
7052	56302	1	0	1	NA
4830	7052	0	0	0	NA
2335	7052	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=185515
7052	3064	0	0	0	NA
7052	8350	1	1	0	NA
7052	8351	1	1	0	NA
7052	8352	1	1	0	NA
7052	8353	1	1	0	NA
7052	8354	1	1	0	NA
7052	8355	1	1	0	NA
7052	8356	1	1	0	NA
7052	8357	1	1	0	NA
7052	8358	1	1	0	NA
7052	8968	1	1	0	NA
7052	7428	0	0	0	NA
226	7052	0	0	0	NA
7052	65018	0	0	0	NA
7052	5710	0	0	0	NA
7052	11214	0	0	0	NA
7052	6278	0	0	0	NA
6678	7052	0	0	0	NA
7052	4052	0	0	0	NA
7052	6385	1	0	0	NA
7052	9289	1	1	0	NA
7052	1984	0	0	0	NA
7052	7114	0	0	0	NA
5783	7226	1	0	1	NA
114327	7226	1	1	0	NA
5578	7226	1	1	0	NA
